周波数 (Hz)	レベル (dB)
14556.445313	-93.592628
14642.578125	-95.926605
14728.710938	-91.950378
14814.843750	-91.966599
14900.976563	-93.841850
14987.109375	-96.876022
15073.242188	-97.165627
15159.375000	-99.076378
15245.507813	-96.335381
15331.640625	-95.053787
15417.773438	-93.162720
15503.906250	-94.680183
15590.039063	-95.203575
15676.171875	-95.817802
15762.304688	-94.439400
15848.437500	-96.459579
15934.570313	-99.455872
16020.703125	-98.181244
16106.835938	-99.029610
16192.968750	-102.440826
16279.101563	-99.955696
16365.234375	-99.785072
16451.367188	-101.787750
16537.500000	-103.756546
16623.632813	-103.840569
16709.765625	-104.059555
16795.898438	-107.418510
16882.031250	-106.887436
16968.164063	-106.407387
17054.296875	-100.514221
17140.429688	-97.839409
17226.562500	-99.964798
17312.695313	-103.797440
17398.828125	-105.503593
17484.960938	-105.073669
17571.093750	-104.542328
17657.226563	-102.154137
17743.359375	-101.671761
17829.492188	-105.921356
17915.625000	-101.579033
18001.757813	-98.389122
18087.890625	-96.821106
18174.023438	-98.251472
18260.156250	-97.216553
18346.289063	-97.154602
18432.421875	-97.912514
18518.554688	-100.266762
18604.687500	-104.188347
18690.820313	-104.435066
18776.953125	-104.673515
18863.085938	-107.249794
18949.218750	-112.445335
19035.351563	-114.152267
19121.484375	-113.589973
19207.617188	-111.824707
19293.750000	-109.751640
19379.882813	-110.611732
19466.015625	-113.024101
19552.148438	-112.649361
19638.281250	-112.125084
19724.414063	-113.964767
19810.546875	-113.851021
19896.679688	-112.182251
19982.812500	-112.898926
20068.945313	-113.829079
20155.078125	-114.887390
20241.210938	-116.072136
20327.343750	-114.993538
20413.476563	-115.749847
20499.609375	-118.540100
20585.742188	-119.787621
20671.875000	-118.205238
20758.007813	-118.682938
20844.140625	-119.032410
20930.273438	-118.694160
21016.406250	-119.189255
21102.539063	-118.916916
21188.671875	-119.179062
21274.804688	-118.822670
21360.937500	-119.330360
21447.070313	-118.870087
21533.203125	-119.110008
21619.335938	-119.249947
21705.468750	-119.033073
21791.601563	-119.153221
21877.734375	-119.114159
21963.867188	-118.803261
周波数 (Hz)	レベル (dB)
86.132813	-57.409523
172.265625	-54.063038
258.398438	-53.195351
344.531250	-54.050766
430.664063	-56.623138
516.796875	-58.935413
602.929688	-56.436298
689.062500	-57.999191
775.195313	-60.661385
861.328125	-59.593441
947.460938	-56.872845
1033.593750	-59.485306
1119.726563	-57.357246
1205.859375	-58.722641
1291.992188	-57.581886
1378.125000	-56.036179
1464.257813	-60.285103
1550.390625	-60.462349
1636.523438	-57.746666
1722.656250	-54.395744
1808.789063	-54.183716
1894.921875	-55.323868
1981.054688	-54.711365
2067.187500	-56.455688
2153.320313	-54.611191
2239.453125	-50.888454
2325.585938	-52.393276
2411.718750	-55.363735
2497.851563	-55.067852
2583.984375	-53.249928
2670.117188	-55.815945
2756.250000	-55.558800
2842.382813	-55.424332
2928.515625	-54.784969
3014.648438	-57.458160
3100.781250	-53.862087
3186.914063	-51.296349
3273.046875	-49.053947
3359.179688	-49.564716
3445.312500	-51.671783
3531.445313	-51.185658
3617.578125	-50.966362
3703.710938	-54.775757
3789.843750	-53.507183
3875.976563	-52.987854
3962.109375	-53.005341
4048.242188	-52.882973
4134.375000	-54.090797
4220.507813	-55.957306
4306.640625	-59.701351
4392.773438	-62.150280
4478.906250	-60.787205
4565.039063	-56.741779
